"oid","fk_books","fk_langs"
84746792,6648,"de"
84746793,6649,"de"
84746795,6651,"de"
84746798,6654,"de"
84755465,6691,"fr"
84746840,6696,"de"
84746842,6698,"de"
84746856,6712,"nl"
84746868,6723,"de"
84746869,6724,"de"
84746870,6725,"de"
84746871,6726,"de"
84746873,6728,"de"
84746874,6729,"de"
84746881,6736,"de"
84754055,6739,"fr"
84746893,6748,"nl"
84746965,6819,"de"
84746966,6820,"de"
84746967,6821,"de"
84746968,6822,"de"
84746976,6830,"de"
84746977,6831,"de"
84746978,6832,"de"
84746979,6833,"de"
84746980,6834,"de"
84746981,6835,"de"
84746984,6838,"fr"
84747033,6887,"it"
84747035,6889,"de"
84747036,6890,"de"
84747037,6891,"de"
84747038,6892,"de"
84747068,6922,"nl"
84752551,6924,"de"
84749911,6938,"it"
84747101,6959,"nl"
84747108,6966,"fr"
84747117,6975,"de"
84747132,6990,"de"
84747136,6994,"fr"
84747138,6996,"de"
84747142,7000,"fi"
84747154,7012,"fr"
84747164,7022,"de"
84747183,7041,"de"
84747185,7043,"de"
84747191,7049,"de"
84747210,7068,"de"
84747220,7078,"fi"
84747242,7109,"es"
84747254,7121,"it"
84747283,7151,"it"
84747296,7173,"fr"
84747308,7185,"de"
84747309,7186,"de"
84747317,7202,"de"
84747318,7203,"de"
84747319,7204,"de"
84747320,7205,"de"
84747321,7206,"de"
84747322,7207,"de"
84747324,7209,"zh"
84747330,7215,"zh"
84747331,7216,"zh"
84747332,7217,"zh"
84747333,7218,"zh"
84747334,7219,"zh"
84747335,7220,"zh"
84747336,7221,"zh"
84747340,7225,"de"
84747341,7226,"de"
84747347,7232,"de"
84747348,7233,"de"
84747351,7236,"de"
84747355,7240,"de"
84747366,7260,"zh"
84747369,7263,"fr"
84747370,7264,"de"
84747372,7266,"zh"
84747373,7267,"it"
84747374,7268,"fr"
84747375,7269,"de"
84747376,7270,"zh"
84747377,7271,"zh"
84747378,7272,"zh"
84747379,7273,"zh"
84747382,7276,"de"
84747391,7285,"zh"
84747392,7286,"zh"
84747393,7287,"zh"
84747394,7288,"zh"
84747395,7289,"zh"
84747396,7290,"zh"
84747398,7292,"de"
84747418,7312,"zh"
84747419,7313,"zh"
84747420,7314,"zh"
84747421,7315,"zh"
84747422,7316,"zh"
84747423,7317,"zh"
84747429,7323,"de"
84747433,7327,"zh"
84747434,7328,"zh"
84747435,7329,"zh"
84747436,7330,"zh"
84747437,7331,"zh"
84747438,7332,"zh"
84747443,7337,"zh"
84747446,7340,"zh"
84747447,7341,"zh"
84747448,7342,"zh"
84747455,7349,"zh"
84747473,7367,"zh"
84747481,7375,"zh"
84747482,7376,"zh"
84747489,7383,"zh"
84747490,7384,"pt"
84747509,7402,"la"
84747513,7406,"zh"
84747514,7407,"zh"
84747515,7408,"zh"
84747525,7418,"zh"
84747526,7419,"zh"
84747527,7420,"zh"
84747549,7442,"fr"
84747561,7454,"zh"
84747562,7455,"zh"
84747563,7456,"zh"
84747564,7457,"zh"
84747565,7458,"zh"
84747566,7459,"it"
84747568,7461,"fr"
84747569,7462,"fr"
84747573,7466,"la"
84747576,7468,"zh"
84747591,7483,"zh"
84747592,7484,"zh"
84747608,7500,"de"
84747611,7503,"de"
84747619,7511,"de"
84747620,7512,"de"
84747841,7770,"fr"
84747842,7771,"fr"
84747843,7772,"fr"
84747852,7781,"it"
84747859,7787,"eo"
84747881,7809,"fr"
84747882,7810,"de"
84747884,7812,"fr"
84747889,7817,"it"
84747890,7818,"fr"
84747926,7854,"fr"
84747930,7858,"de"
84747931,7859,"de"
